Ano/Mês,Nascidos_Vivos,NascVivos_Pesados,NascVivos_<2500g,Óbitos<28d_Diarr,Óbitos<28d_IRA,Óbitos<28d_OutCau,Óbit_28a11m_Diarr,Óbit_28a11m_IRA,Óbit_28a11m_OutCau,Óbitos<1a_Diarr,Óbitos<1a_IRA,Óbitos<1a_OutCau,Óbitos_Fem.10a14a,Óbitos_Fem.15a49a,Óbitos_Adol_violên,Outros_óbitos,Hosp.<5a_Pneumonia,Hosp.<5a_Desitrat,Hosp.Abuso_Álcool,Hosp.Complic.Diab.,Hosp.p/Out.Causas,Hosp.Psiquiátricas,Nº_Visitas,Famílias_Acompanh.,Nº_Gestantes,Nº_Gest._Acompanh,Nº_Gest._<20_anos,Gest.c/PN_no_mês,Gest.c/PN_1ºTrim,Gest.c/Vacina_Dia,Crianças_até_4m,Cr<4m_AleitMatExcl,Cr<4m_Aleit_Misto,Crianças_<1_ano,Cr<1a_c/Vacin.dia,Cr<1a_pesadas,Cr<1a_desnutridas,Cr_12-23meses,Cr_12-23m_Vac.Dia,Cr_12-23m_Pesadas,Cr_12-23m_Desnutr.,Cr<2a_c/diarr,Cr<2a_usaram_TRO,Cr<2a_c/IRA,Diabetes_Cadastr.,Diabetes_Acompan.,Hiperten.Cadastr.,Hiperten.Acompan.,Tubercul.Cadastr.,Tubercul_Acompan.,Hansenia.Cadastr.,Hansenia.Acompan.
..Fevereiro/2008,102362,100620,10109,133,92,1032,69,87,1008,391,221,2301,223,1659,348,27782,4621,4089,3341,8134,221722,4931,28029266,27741353,659212,639740,153580,586251,500663,609949,428931,316518,108208,1374714,1313264,1216433,20748,1498218,1433586,1287320,42544,152794,114284,149063,1956467,1701405,8369698,7598604,20659,18357,28065,27021
..Março/2008,110135,238629,70604,725,146,1127,82,106,952,1625,254,2911,233,1804,368,29555,7487,4170,3353,8368,243987,5358,28452786,28862994,667160,646498,154533,593355,505998,616786,443032,328774,110464,1386881,1324832,1229395,20999,1506299,1440296,1298024,42225,153018,113792,175695,1892748,1735221,8526226,7734462,20821,18961,29025,27644
..Abril/2008,111444,109463,11253,149,93,1317,70,116,947,432,211,2496,215,1964,575,30211,9771,3591,3409,8316,237585,5106,28332172,28434076,659177,635059,152056,582974,497710,606053,452179,336662,111686,1381568,1322008,1227096,20221,1496956,1432377,1292521,40645,139624,103050,192265,1903693,1749057,8500743,7777410,20418,18640,28535,27569
..Maio/2008,111830,109885,10589,116,70,963,52,101,987,664,185,2472,261,1688,440,31340,10297,2617,3170,8445,230093,5122,28565595,28322665,642709,624081,149653,574758,488656,596625,461027,342900,114430,1374643,1323539,1226340,19659,1491055,1431178,1292418,38971,120039,86416,207877,1976743,1745341,8665117,7768278,23357,20457,27971,26814
..Junho/2008,105606,103651,9847,158,80,947,70,121,1024,719,243,2596,241,1692,380,31375,9457,2320,3489,8123,554472,5161,28345703,29155412,640488,621385,148945,570477,488248,593196,464144,342683,117015,1375090,1325217,1222720,19113,1486377,1429576,1284313,36845,109556,77864,207740,1914742,1751693,9386556,7779102,21451,18945,28092,26963
..Julho/2008,107170,105124,10325,134,74,972,62,111,938,533,191,2271,253,1608,528,31834,7470,2675,3348,8252,220540,5055,29077070,29361486,651420,630991,150960,580638,497004,602048,465023,343220,117408,1383358,1333871,1226830,18301,1491389,1435877,1287684,35397,108122,76303,181327,1948620,1779115,8880889,8041156,23184,20742,28144,27096
..Agosto/2008,108229,106241,10643,137,99,1029,49,83,902,685,189,2548,230,1823,403,31663,7023,3469,3546,8698,228989,5288,30262334,28952379,667794,648167,152663,599479,514717,619534,467538,345746,117541,1398176,1350041,1241797,18269,1501934,1448243,1298143,34041,112959,80643,170223,2026557,1816858,8939284,8147353,25573,22031,29183,28217
..Setembro/2008,107437,105542,9860,142,89,930,43,81,901,777,234,2628,207,1652,495,30601,6192,3350,3414,8351,221331,5247,29824479,29273187,667792,646852,152396,598044,516268,618902,463014,341888,116551,1405442,1354375,1247821,18006,1496778,1442855,1293756,33415,112916,81057,161470,2018142,1825805,9112299,8221750,21750,19537,29763,28439
..Outubro/2008,107357,105532,11038,131,72,912,43,81,880,600,172,2271,237,1894,388,30647,5918,203208,3594,8498,221684,5032,29263426,29192857,668045,648959,153764,600480,520669,622194,462349,341554,116856,1415544,1359147,1258786,18072,1496608,1437950,1296794,33613,112191,81011,150272,2017174,1849512,9010377,8141479,22838,20695,30129,29139
..Novembro/2008,95224,93441,8869,115,48,915,50,72,881,165,120,1793,195,1430,311,26943,115712,2401,2601,7039,195868,4523,27772957,28807092,643014,623526,147672,575320,504517,597578,444667,326675,110158,1384859,1317903,1230412,16410,1457289,1387836,1253526,31323,105123,75546,139134,1954778,1782560,8820500,7833917,20304,19155,28631,27686
..Dezembro/2008,96065,94229,8978,137,76,828,75,87,850,721,167,2244,224,1727,483,27387,3773,2529,3529,7133,176244,4370,25651232,28240671,619003,596508,141317,538574,475331,570587,425626,314125,106358,1346243,1283894,1180267,16019,1417882,1352777,1211948,30539,111856,76948,125900,2016844,1736296,8854288,7659867,21054,18877,27366,25969
2009,1222217,1200075,117187,1696,1065,11512,882,1124,11071,4650,2294,24852,3209,20196,4726,370101,79163,32089,35694,98602,2613549,58264,339789988,350669900,7580516,7320731,1716102,6778966,5898750,7019761,5271805,3879443,1311350,16546647,15785835,14656151,191287,17361450,16529956,14924465,352277,1372110,965137,1927409,25427887,22335390,108598151,96991093,252897,226169,331379,317659
..Janeiro/2009,105384,103432,10073,172,60,1104,89,71,961,261,131,2062,239,1615,389,30549,3744,3365,2971,8427,206905,4929,28146006,29090028,638854,616923,146155,563749,491255,588554,435092,318407,108364,1380718,1303950,1215841,16683,1445231,1361066,1227381,31480,137491,96948,127688,2005999,1777115,8804450,7784877,20543,18991,28464,27483
..Fevereiro/2009,102503,100670,9734,126,129,926,68,91,892,194,220,1815,261,1505,404,28312,4591,3797,3079,8019,213938,4993,27464114,29284875,642962,622019,147635,571913,493872,593778,437460,321374,107903,1384229,1310503,1223741,17210,1439938,1361271,1231062,32114,148723,108162,139656,2192116,1795675,8853808,7864150,21119,19373,28755,27530
..Março/2009,108029,106091,10023,111,83,993,57,88,918,168,171,1908,252,1606,362,30107,7355,3436,2646,7957,229875,4946,28506822,28527150,638329,618996,147994,570757,492632,591780,446984,329487,109489,1393147,1321920,1234670,17204,1447591,1371515,1243019,32234,140071,101654,170855,2011291,1828249,8844094,8011394,21140,19254,27812,26747
..Abril/2009,111096,109073,10743,168,75,1035,71,129,1037,818,206,2666,227,2267,401,31605,10013,2564,3151,8311,233265,5230,29441072,29422071,634832,615887,147131,567871,487075,589256,456600,341010,112535,1404472,1345977,1246284,17651,1458701,1392715,1259542,32335,121400,85784,200126,2082520,1886216,9086944,8226376,21420,18771,28096,26980
..Maio/2009,105575,103716,9968,127,90,992,51,142,944,494,235,2265,263,1684,498,32168,9859,2354,3288,8274,229162,5101,29904210,29572400,625428,606003,144701,560541,481120,580888,457505,339639,113714,1397931,1340592,1241293,17161,1458480,1392602,1260945,31270,112694,78390,199011,2099083,1885899,9068448,8214265,21057,19320,28306,27223
